State,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,Federal guidelines,foreign travel ban
AL,22-Mar,19-Mar,13-Mar,16-Mar,19-Mar,,16-Mar,11-Mar
AK,,,,19-Mar,17-Mar,17-Mar,16-Mar,11-Mar
AZ,,,,16-Mar,20-Mar,,16-Mar,11-Mar
AR,,,,17-Mar,19-Mar,19-Mar,16-Mar,11-Mar
CA,19-Mar,19-Mar,19-Mar,19-Mar,15-Mar,15-Mar,16-Mar,11-Mar
CO,24-Mar,24-Mar,13-Mar,23-Mar,20-Mar,17-Mar,16-Mar,11-Mar
CT,23-Mar,23-Mar,23-Mar,17-Mar,16-Mar,16-Mar,16-Mar,11-Mar
DE,24-Mar,24-Mar,24-Mar,16-Mar,12-Mar,12-Mar,16-Mar,11-Mar
DC,25-Mar,25-Mar,25-Mar,16-Mar,16-Mar,16-Mar,16-Mar,11-Mar
FL,25-Mar,17-Mar,17-Mar,16-Mar,17-Mar,17-Mar,16-Mar,11-Mar
GA,24-Mar,17-Mar,17-Mar,18-Mar,20-Mar,20-Mar,16-Mar,11-Mar
HI,25-Mar,25-Mar,25-Mar,23-Mar,20-Mar,,16-Mar,11-Mar
ID,20-Mar,20-Mar,20-Mar,23-Mar,23-Mar,23-Mar,16-Mar,11-Mar
IL,21-Mar,18-Mar,18-Mar,17-Mar,18-Mar,18-Mar,16-Mar,11-Mar
IN,24-Mar,24-Mar,13-Mar,19-Mar,17-Mar,17-Mar,16-Mar,11-Mar
IA,,,,,17-Mar,17-Mar,16-Mar,11-Mar
KS,24-Mar,17-Mar,17-Mar,18-Mar,24-Mar,24-Mar,16-Mar,11-Mar
KY,,,,16-Mar,,18-Mar,16-Mar,11-Mar
LA,23-Mar,17-Mar,17-Mar,16-Mar,17-Mar,17-Mar,16-Mar,11-Mar
ME,,18-Mar,18-Mar,15-Mar,18-Mar,,16-Mar,11-Mar
MD,,16-Mar,13-Mar,16-Mar,16-Mar,16-Mar,16-Mar,11-Mar
MA,24-Mar,17-Mar,17-Mar,17-Mar,17-Mar,17-Mar,16-Mar,11-Mar
MI,24-Mar,24-Mar,24-Mar,16-Mar,16-Mar,16-Mar,16-Mar,11-Mar
MN,,,,18-Mar,17-Mar,17-Mar,16-Mar,11-Mar
MS,,,,20-Mar,,,16-Mar,11-Mar
MO,,21-Mar,21-Mar,19-Mar,21-Mar,,16-Mar,11-Mar
MT,,,,16-Mar,20-Mar,20-Mar,16-Mar,11-Mar
NE,,19-Mar,19-Mar,19-Mar,19-Mar,,16-Mar,11-Mar
NV,,,,16-Mar,20-Mar,20-Mar,16-Mar,11-Mar
NH,,24-Mar,24-Mar,16-Mar,16-Mar,,16-Mar,11-Mar
NJ,21-Mar,16-Mar,16-Mar,18-Mar,16-Mar,16-Mar,16-Mar,11-Mar
NM,24-Mar,18-Mar,18-Mar,16-Mar,18-Mar,18-Mar,16-Mar,11-Mar
NY,22-Mar,16-Mar,13-Mar,18-Mar,16-Mar,16-Mar,16-Mar,11-Mar
NC,26-Mar,23-Mar,12-Mar,16-Mar,17-Mar,23-Mar,16-Mar,11-Mar
ND,,,,16-Mar,19-Mar,19-Mar,16-Mar,11-Mar
OH,23-Mar,15-Mar,15-Mar,17-Mar,15-Mar,22-Mar,16-Mar,11-Mar
OK,,,,17-Mar,17-Mar,17-Mar,16-Mar,11-Mar
OR,23-Mar,16-Mar,16-Mar,16-Mar,17-Mar,17-Mar,16-Mar,11-Mar
PA,23-Mar,23-Mar,23-Mar,16-Mar,17-Mar,17-Mar,16-Mar,11-Mar
RI,,16-Mar,16-Mar,16-Mar,23-Mar,23-Mar,16-Mar,11-Mar
SC,,18-Mar,18-Mar,16-Mar,18-Mar,,16-Mar,11-Mar
SD,,,,16-Mar,,,16-Mar,11-Mar
TN,25-Mar,25-Mar,25-Mar,20-Mar,23-Mar,23-Mar,16-Mar,11-Mar
TX,24-Mar,21-Mar,14-Mar,23-Mar,19-Mar,19-Mar,16-Mar,11-Mar
UT,,,12-Mar,16-Mar,18-Mar,18-Mar,16-Mar,11-Mar
VT,,,,18-Mar,17-Mar,23-Mar,16-Mar,11-Mar
VA,,24-Mar,24-Mar,16-Mar,16-Mar,16-Mar,16-Mar,11-Mar
WA,23-Mar,23-Mar,11-Mar,17-Mar,17-Mar,17-Mar,16-Mar,11-Mar
WV,24-Mar,24-Mar,24-Mar,16-Mar,24-Mar,24-Mar,16-Mar,11-Mar
WI,25-Mar,17-Mar,17-Mar,18-Mar,17-Mar,17-Mar,16-Mar,11-Mar
WY,,20-Mar,20-Mar,20-Mar,19-Mar,19-Mar,16-Mar,11-Mar
PR,,,,16-Mar,15-Mar,15-Mar,16-Mar,11-Mar
