FIPS,STATE,implementation,comment
01000,AL,2020-07-15,2020-07-31,
05000,AR,2020-07-20,
06000,CA,2020-06-18,
08000,C0,2020-07-17,
09000,CT,2020-04-20,
10000,DE,2020-04-28,
11000,DC,2020-05-16,
15000,HI,2020-04-20,
17000,IL,2020-05-01,
20000,KS,2020-07-03,
21000,KY,2020-05-11,
22000,LA,2020-07-13,
23000,ME,2020-05-01,
24000,MD,2020-04-18,
25000,MA,2020-05-06,
26000,MI,2020-06-18,
30000,MT,2020-07-16,
32000,NV,2020-06-24,
34000,NJ,2020-04-08,
35000,NM,2020-05-16,
36000,NY,2020-04-17,
37000,NC,2020-06-26,
41000,OR,2020-07-01,
42000,PA,2020-04-19,
72000,PR,,implemented (date unknown)
44000,RI,2020-05-08,
48000,TX,2020-07-03,
51000,VA,2020-05-29,
53000,WA,2020-06-26,
54000,WV,2020-07-06,
